lon,lat,radar_freeboard_20_ku,radar_freeboard_smoothed_20_ku
351.518494,76.278107,,-0.7859
351.510469,76.280400,,-0.7864
351.502443,76.282691,,-0.7870
351.494413,76.284983,,-0.7876
351.486383,76.287274,,-0.7882
351.478348,76.289566,,-0.7887
351.470310,76.291857,,-0.7894
351.462270,76.294148,,-0.7898
351.454229,76.296438,,-0.7902
351.446184,76.298728,,-0.7905
351.438136,76.301018,,-0.7911
351.430085,76.303308,,-0.7920
351.422035,76.305597,,-0.7929
351.413979,76.307886,,-0.7938
351.405921,76.310176,,-0.7945
351.397860,76.312465,,-0.7950
351.389798,76.314753,,-0.7951
351.381735,76.317041,,-0.7956
351.154851,76.381011,,-0.8905
351.146711,76.383292,,-0.8916
351.138568,76.385573,,-0.8917
351.130421,76.387853,,-0.8918
351.122275,76.390133,,-0.8920
351.114125,76.392413,,-0.8920
351.105971,76.394693,,-0.8922
351.097814,76.396972,,-0.8923
351.089655,76.399252,,-0.8922
351.081495,76.401530,,-0.8918
351.073331,76.403809,,-0.8916
351.065164,76.406088,,-0.8915
351.056994,76.408366,,-0.8914
351.048821,76.410644,,-0.8912
351.040648,76.412922,,-0.8911
351.032470,76.415199,,-0.8909
351.024290,76.417477,,-0.8908
351.016107,76.419754,,-0.8907
348.293389,77.125909,,-0.7906
348.284319,77.128099,,-0.7903
348.275249,77.130289,,-0.7901
348.266174,77.132478,,-0.7898
348.257097,77.134667,,-0.7895
348.248018,77.136856,,-0.7893
348.238936,77.139044,,-0.7890
348.229848,77.141233,,-0.7886
348.220760,77.143421,,-0.7882
348.211669,77.145608,,-0.7878
348.202575,77.147795,,-0.7875
348.193476,77.149983,,-0.7870
348.184376,77.152169,,-0.7865
348.175271,77.154356,,-0.7859
348.166167,77.156542,,-0.7854
348.157058,77.158727,,-0.7851
348.147944,77.160913,,-0.7849
348.138829,77.163098,,-0.7845
345.783144,77.695383,,-0.6963
345.773252,77.697489,,-0.6971
345.763354,77.699594,,-0.6986
345.753453,77.701699,,-0.6994
345.743552,77.703804,,-0.6999
345.733644,77.705908,,-0.7002
345.723734,77.708012,,-0.7004
345.713822,77.710115,,-0.7005
345.703905,77.712219,,-0.7004
345.693985,77.714322,,-0.7004
345.684063,77.716424,,-0.6998
345.674136,77.718527,,-0.6986
345.664206,77.720629,,-0.6974
345.654275,77.722730,,-0.6963
345.644338,77.724831,,-0.6954
345.634400,77.726932,,-0.6949
345.624457,77.729032,,-0.6945
345.614510,77.731133,,-0.6945
343.990521,78.060578,,-0.6537
343.980034,78.062621,,-0.6537
343.969547,78.064663,,-0.6532
343.959051,78.066706,,-0.6527
343.948557,78.068748,,-0.6521
343.938056,78.070789,,-0.6512
343.927552,78.072830,,-0.6504
343.917045,78.074871,,-0.6495
343.906534,78.076911,,-0.6488
343.896020,78.078951,,-0.6478
343.885502,78.080991,,-0.6462
343.874984,78.083030,,-0.6440
343.864459,78.085068,,-0.6415
343.853931,78.087107,,-0.6386
343.843400,78.089145,,-0.6345
343.832865,78.091183,,-0.6313
343.822323,78.093220,,-0.6289
343.811784,78.095257,,-0.6294
342.967865,78.254970,,-0.6106
342.957040,78.256976,,-0.6106
342.946209,78.258983,,-0.6106
342.935378,78.260988,,-0.6106
342.924543,78.262993,,-0.6106
342.913704,78.264998,,-0.6106
342.902862,78.267002,,-0.6106
342.892016,78.269006,,-0.6106
342.881167,78.271009,,-0.6106
342.870314,78.273012,,-0.6106
342.859457,78.275015,,-0.6106
342.848597,78.277017,,-0.6106
342.837734,78.279019,,-0.6106
342.826866,78.281021,,-0.6106
342.815995,78.283022,,-0.6106
