lon,lat,radar_freeboard_20_ku,radar_freeboard_smoothed_20_ku
294.660293,79.438800,,0.2785
294.646982,79.440513,,0.2785
294.633669,79.442226,,0.2785
294.620348,79.443939,,0.2758
294.607023,79.445651,,0.2731
294.593694,79.447362,,0.2703
294.580361,79.449073,,0.2676
294.567024,79.450784,,0.2649
294.553682,79.452494,,0.2622
294.540336,79.454203,,0.2594
294.526989,79.455912,,0.2567
294.513635,79.457620,,0.2540
294.500276,79.459328,,0.2513
294.486914,79.461035,,0.2486
294.473547,79.462742,,0.2458
294.460179,79.464447,,0.2431
294.446804,79.466153,,0.2404
294.433424,79.467858,,0.2377
294.420040,79.469562,,0.2349
294.406652,79.471266,,0.2322
294.393260,79.472970,,0.2295
294.379863,79.474673,,0.2268
294.366463,79.476375,,0.2240
294.353058,79.478077,,0.2213
294.339648,79.479778,,0.2186
294.326235,79.481479,,0.2159
294.312817,79.483179,,0.2132
294.299395,79.484878,,0.2104
294.285973,79.486577,,0.2077
294.272542,79.488275,,0.2050
294.259108,79.489973,,0.2023
294.245673,79.491670,,0.1995
294.232230,79.493367,,0.1968
294.218783,79.495064,,0.1941
294.205331,79.496759,,0.1914
294.191876,79.498454,,0.1886
294.178416,79.500149,,0.1859
294.164956,79.501843,,0.1832
294.151487,79.503536,,0.1805
294.138015,79.505229,,0.1805
294.124538,79.506922,,0.1805
294.111057,79.508614,,0.1805
294.097575,79.510305,,0.1805
294.084086,79.511995,,0.1805
294.070592,79.513686,,0.1805
294.057095,79.515375,,0.1805
294.043593,79.517064,,0.1805
294.030087,79.518753,,0.1805
294.016579,79.520441,,0.1805
294.003065,79.522128,,0.1805
293.989546,79.523815,,0.1805
293.976026,79.525501,,0.1805
293.962498,79.527187,,0.1805
293.948966,79.528872,,0.1805
293.935431,79.530557,,0.1805
293.921890,79.532241,,0.1805
293.908346,79.533924,,0.1805
293.894797,79.535608,,0.1805
293.881248,79.537290,,0.1805
293.867690,79.538972,,0.1805
293.854129,79.540653,,0.1805
293.840563,79.542334,,0.1805
293.826994,79.544014,,0.1805
293.813419,79.545694,,0.1805
293.799841,79.547373,,0.1805
293.786258,79.549052,,0.1805
293.772671,79.550730,,0.1805
293.759083,79.552407,,0.1805
293.745488,79.554084,,0.1805
293.731888,79.555760,,0.1805
293.718284,79.557436,,0.1805
293.704676,79.559111,,0.1805
293.691063,79.560786,,0.1805
293.677446,79.562460,,0.1805
293.663825,79.564134,,0.1805
293.650200,79.565807,,0.1805
293.636571,79.567479,,0.1805
293.622940,79.569150,,0.1805
293.609302,79.570822,,0.1805
293.595660,79.572493,,0.1805
293.582014,79.574163,,0.1805
293.568363,79.575832,,0.1805
293.554708,79.577502,,0.1805
293.541049,79.579170,,0.1805
293.527389,79.580838,,0.1805
293.513721,79.582505,,0.1805
293.500049,79.584172,,0.1805
293.486373,79.585838,,0.1805
293.472693,79.587504,,0.1805
293.459012,79.589169,,0.1805
293.445323,79.590833,,0.1805
293.431629,79.592497,,0.1805
293.417932,79.594161,,0.1805
293.404230,79.595824,,0.1805
293.390524,79.597486,,0.1805
293.376813,79.599148,,0.1805
293.363099,79.600809,,0.1805
293.349380,79.602469,,0.1805
293.335657,79.604130,,0.1805
293.321929,79.605789,,0.1805
293.308198,79.607448,,0.1805
293.294462,79.609106,,0.1805
293.280721,79.610764,,0.1805
293.266977,79.612421,,0.1805
293.253228,79.614078,,0.1805
293.239476,79.615734,,0.1805
293.225718,79.617390,,0.1805
293.211960,79.619044,,0.1805
293.198194,79.620699,,0.1805
293.184427,79.622352,,0.1805
293.170653,79.624005,,0.1805
293.156874,79.625658,,0.1805
293.143095,79.627310,,0.1805
293.129307,79.628961,,0.1805
293.115519,79.630612,,0.1805
293.101723,79.632262,,0.1805
293.087923,79.633912,,0.1805
293.074119,79.635561,,0.1805
293.060310,79.637210,,0.1805
293.046501,79.638858,,0.1805
293.032683,79.640505,,0.1805
293.018862,79.642152,,0.1805
293.005036,79.643799,,0.1805
292.991206,79.645445,,0.1805
292.977372,79.647090,,0.1805
292.963533,79.648734,,0.1805
292.949691,79.650379,,0.1805
292.935843,79.652022,,0.1805
292.921992,79.653665,,0.1805
292.908136,79.655308,,0.1805
292.894276,79.656949,,0.1805
292.880412,79.658591,,0.1805
292.866543,79.660231,,0.1805
292.852670,79.661871,,0.1805
292.838793,79.663511,,0.1805
292.824912,79.665150,,0.1805
292.811026,79.666788,,0.1805
292.797136,79.668426,,0.1805
292.783242,79.670063,,0.1805
292.769343,79.671700,,0.1805
292.755440,79.673336,,0.1805
292.741533,79.674971,,0.1805
292.727622,79.676606,,0.1805
292.713706,79.678241,,0.1805
292.699786,79.679874,,0.1805
292.685862,79.681507,,0.1805
292.671933,79.683140,,0.1805
